Time,AccelerometerX,AccelerometerY,AccelerometerZ 
3.581867,-0.275,-9.815,-2.169
3.59173,-0.275,-9.808,-2.207
3.601593,-0.196,-9.762,-2.239
3.611456,-0.235,-9.769,-2.201
3.621319,-0.235,-9.769,-2.201
3.631182,-0.275,-9.717,-2.271
3.641045,-0.235,-9.762,-2.239
3.650908,-0.235,-9.762,-2.239
3.660771,-0.235,-9.815,-2.169
3.670634,-0.235,-9.892,-2.182
3.680497,-0.235,-9.896,-2.382
3.69036,-0.275,-9.917,-2.266
3.700242,-0.275,-9.89,-2.421
3.710124,-0.275,-9.924,-2.228
3.720006,-0.275,-9.91,-2.305
3.729888,-0.275,-9.878,-2.26
3.73977,-0.275,-9.833,-2.291
3.749652,-0.235,-9.801,-2.246
3.759534,-0.196,-9.774,-2.4
3.769416,-0.157,-9.742,-2.355
3.779298,-0.157,-9.78,-2.362
3.78918,-0.157,-9.735,-2.394
3.799062,-0.157,-9.728,-2.432
3.808944,-0.118,-9.74,-2.594
3.818806,-0.157,-9.76,-2.478
3.828668,-0.157,-9.755,-2.278
3.83853,-0.196,-9.715,-2.51
3.848392,-0.196,-9.735,-2.394
3.858254,-0.196,-9.767,-2.439
3.868116,-0.196,-9.76,-2.478
3.877978,-0.157,-9.805,-2.446
3.88784,-0.196,-9.785,-2.562
3.897702,-0.196,-9.753,-2.516
3.907564,-0.235,-9.774,-2.4
3.917426,-0.235,-9.753,-2.516
3.927288,-0.235,-9.785,-2.562
3.93715,-0.235,-9.76,-2.478
3.947012,-0.275,-9.742,-2.355
3.956893,-0.275,-9.669,-2.541
3.966774,-0.275,-9.721,-2.471
3.976655,-0.275,-9.78,-2.362
3.986536,-0.275,-9.819,-2.369
3.996417,-0.235,-9.833,-2.291
4.006298,-0.275,-9.819,-2.369
4.016179,-0.314,-9.858,-2.375
4.02606,-0.314,-9.878,-2.26
4.035941,-0.275,-9.865,-2.337
4.045822,-0.314,-9.851,-2.414
4.055703,-0.275,-9.903,-2.344
4.065584,-0.235,-9.928,-2.428
4.075465,-0.235,-9.935,-2.389
4.08536,-0.235,-9.935,-2.389
4.095255,-0.157,-9.883,-2.46
4.10515,-0.157,-9.896,-2.382
4.115045,-0.157,-9.869,-2.537
4.12494,-0.157,-9.869,-2.537
4.134835,-0.157,-9.824,-2.569
4.14473,-0.157,-9.803,-2.685
4.154625,-0.196,-9.771,-2.639
4.16452,-0.196,-9.733,-2.632
4.174415,-0.196,-9.726,-2.671
4.18431,-0.196,-9.681,-2.703
4.194205,-0.196,-9.674,-2.741
4.2041,-0.196,-9.596,-2.728
4.214015,-0.196,-9.587,-3.005
4.22393,-0.235,-9.603,-2.689
4.233845,-0.275,-9.603,-2.689
4.24376,-0.314,-9.603,-2.689
4.253675,-0.392,-9.59,-2.766
4.26359,-0.471,-9.576,-2.844
4.273505,-0.549,-9.642,-2.696
4.28342,-0.549,-9.642,-2.696
4.293335,-0.588,-9.687,-2.664
4.30325,-0.549,-9.681,-2.703
4.313165,-0.549,-9.706,-2.787
4.32308,-0.549,-9.719,-2.71
4.332995,-0.549,-9.687,-2.664
4.342893,-0.588,-9.706,-2.787
4.352791,-0.588,-9.719,-2.71
4.362689,-0.628,-9.669,-2.541
4.372587,-0.628,-9.649,-2.657
